"site_id","bikeinfra"
101,"Multi-Use Path"
101,"Bike Lane"
102,"Multi-Use Path"
102,"None"
104,"Bike Lane"
105,"None"
106,"Bike Lane"
109,"Multi-Use Path"
109,"Bike Lane"
110,"Bike Lane"
111,"Bike Lane"
111,"Buffered Bike Lane"
112,"Bike Lane"
113,"Bike Lane"
113,"Buffered Bike Lane"
114,"Bike Lane"
201,"Bike Lane"
202,"Bike Lane"
203,"Buffered Bike Lane"
204,"Neighborhood Bikeway"
205,"Bike Lane"
206,"Bike Lane"
207,"Neighborhood Bikeway"
208,"None"
209,"Neighborhood Bikeway"
212,"Bike Lane"
213,"Multi-Use Path"
213,"None"
301,"Bike Lane"
302,"None"
303,"None"
304,"None"
305,"None"
306,"None"
307,"None"
308,"Multi-Use Path"
308,"Bike Lane"
309,"Bike Lane"
310,"Bike Lane"
311,"Bike Lane"
312,"Bike Lane"
313,"None"
314,"None"
315,"Bike Lane"
401,"Bike Lane"
402,"Neighborhood Bikeway"
404,"Bike Lane"
405,"Bike Lane"
406,"Bike Lane"
407,"Bike Lane"
501,"None"
502,"None"
503,"None"
504,"Bike Lane"
506,"Neighborhood Bikeway"
507,"None"
508,"Bike Lane"
509,"Bike Lane"
510,"Bike Lane"
510,"Neighborhood Bikeway"
601,"Bike Lane"
602,"Bike Lane"
602,"Buffered Bike Lane"
602.1,"Bike Lane"
603,"Bike Lane"
604,"Bike Lane"
605,"Bike Lane"
606,"Bike Lane"
607,"Bike Lane"
608,"None"
609,"None"
610,"Bike Lane"
611,"None"
612,"Bike Lane"
612,"Buffered Bike Lane"
613,"None"
614,"Bike Lane"
614,"Buffered Bike Lane"
615,"Bike Lane"
701,"Bike Lane"
702,"Bike Lane"
703,"Bike Lane"
704,"None"
705,"None"
706,"None"
707,"Bike Lane"
707,"Buffered Bike Lane"
801,"Bike Lane"
802,"None"
803,"Bike Lane"
804,"Bike Lane"
805,"Multi-Use Path"
805,"None"
806,"Bike Lane"
807,"None"
901,"None"
902,"None"
903,"Bike Lane"
904,"Bike Lane"
906,"None"
907,"Bike Lane"
908,"Bike Lane"
909,"Bike Lane"
910,"Bike Lane"
