site_id,site_desc,ampm,odotcity,ward,legacy,osu_city,loctype,mv_at,longitude,latitude,hours,moto,bus,workveh,car,truck,totMV,bike,ebike,totbike,ped,escoot,othermicro,tot_roll,totAT,tot_trips
101,SW Reservoir and NW 53rd and Campus Way MUP,pm,city,1,legacy,city,intersection,MV_AT,-123.312054,44.565273,2,15,22,109,1966,391,2503,91,26,117,24,0,1,1,142,2645
102,NW 53rd and SW Cherry,pm,city,1,new,city,intersection,MV_AT,-123.311991,44.560712,2,4,12,42,1457,159,1674,35,3,38,11,0,0,0,49,1723
104,West Hills,pm,city,1,new,city,street,MV_AT,-123.31362,44.556285,2,0,10,26,758,58,852,7,0,7,9,0,0,0,16,868
105,West Hills and SW Sylvia,pm,city,1,new,city,intersection,MV_AT,-123.304203,44.556304,2,2,4,15,425,70,516,5,3,8,18,4,0,4,30,546
106,SW Philomath and SW 53rd,pm,odot,1,new,city,intersection,AT,-123.312003,44.550873,2,7,25,256,3778,96,4162,8,3,11,18,3,0,3,32,4194
109,SW Country Club and SW 49th,pm,city,1,new,city,intersection,MV_AT,-123.306716,44.545743,2,1,8,17,452,71,549,42,12,54,49,2,1,3,106,655
110,SW Philomath and SW 35th,pm,odot,1,new,city,intersection,AT,-123.289572,44.554552,2,NA,NA,NA,NA,NA,3500,64,22,86,24,3,2,5,115,3615
111,SW Western and SW 35th,am,city,1,legacy,city,intersection,MV_AT,-123.289618,44.556911,2,7,44,150,1381,89,1671,23,12,35,58,8,1,9,102,1773
112,SW 35th and Corv-Philo MUP,pm,city,1,new,city,intersection,MV_AT,-123.289623,44.549547,2,1,10,22,659,76,768,16,4,20,27,0,0,0,47,815
113,SW Technology and SW Research,pm,city,1,new,city,intersection,MV_AT,-123.306261,44.551237,2,3,11,27,1295,180,1516,8,1,9,20,0,0,0,29,1545
114,SW Country Club and SW Research,pm,city,1,new,city,intersection,MV_AT,-123.294722,44.548339,2,2,7,16,635,127,787,26,2,28,27,0,1,1,56,843
201,NW Kings and NW Jackson,am,city,2,new,osu,intersection,MV_AT,-123.275072,44.569084,2,5,11,24,193,24,257,97,8,105,187,10,3,13,305,562
202,NW Harrison and NW Kings,pm,city,2,legacy,city,intersection,MV_AT,-123.275127,44.57132,2,20,10,95,2710,301,3136,122,8,130,177,21,6,27,334,3470
203,NW Van Buren and NW 13th,am,city,2,new,osu,intersection,MV_AT,-123.270267,44.568956,2,1,9,28,715,106,859,14,0,14,38,1,1,2,54,913
204,NW 11th and NW Jackson,pm,city,2,new,osu,intersection,MV_AT,-123.268889,44.567478,2,1,0,5,199,15,220,78,3,81,73,6,5,11,165,385
205,NW Monroe and NW 5th,pm,city,2,legacy,city,intersection,MV_AT,-123.263006,44.564917,2,7,20,26,1210,153,1416,NA,NA,105,154,7,8,15,274,1690
206,SW Jefferson and SW 6th,pm,city,2,new,city,intersection,MV_AT,-123.265124,44.563181,2,2,26,21,625,62,736,57,3,60,121,3,2,5,186,922
207,SW 11th and SW Washington,pm,city,2,new,osu,intersection,MV_AT,-123.271303,44.562587,2,1,0,21,914,80,1016,56,8,64,426,30,4,34,524,1540
208,SW Adams and SW 8th,pm,city,2,new,osu,intersection,MV_AT,-123.267734,44.562761,2,0,1,10,82,7,100,17,2,19,54,2,3,5,78,178
209,NW Tyler and NW 9th,pm,city,2,new,city,intersection,MV_AT,-123.26529,44.569889,2,22,20,56,2435,262,2795,24,4,28,38,2,1,3,69,2864
