OBJECTID,Join_Count,TARGET_FID,site_id,site_desc,odotcity,ward,legacy,osu_city,loctype,mv_at,longitude,latitude,hours,moto,bus,workveh,car,truck,totMV,bike,ebike,totbike,ped,escoot,othermicro,tot_roll,totAT,tot_trips,moto_hr,bus_hr,workveh_hr,car_hr,truck_hr,totMV_hr,bike_hr,ebike_hr,totbike_hr,ped_hr,escoot_hr,othermicro_hr,tot_roll_hr,totAT_hr,tot_trips_hr,walkscore,bikescore,FULLNAME,FUNC_CLASS,BIKE_FAC,SHOULDER,MULTIUSE_PATH
1,3,1,101,SW Reservoir and NW 53rd and Campus Way MUP,city,1,legacy,city,intersection,MV_AT,-123.312054,44.565273,2,15,22,109,1966,391,2503,91,26,117,24,0,1,1,142,2645,8,11,54,983,196,1252,46,13,58,12,0,0,0,71,1322,29,81,53RD ST,ARTERIAL,Bike Lane,no,3
2,3,2,101,SW Reservoir and NW 53rd and Campus Way MUP,city,1,legacy,city,intersection,MV_AT,-123.312054,44.565273,2,15,22,109,1966,391,2503,91,26,117,24,0,1,1,142,2645,8,11,54,983,196,1252,46,13,58,12,0,0,0,71,1322,29,81,SW RESERVOIR AVE,ARTERIAL,Bike Lane,no,3
3,1,3,102,NW 53rd and SW Cherry,city,1,new,city,intersection,MV_AT,-123.311991,44.560712,2,4,12,42,1457,159,1674,35,3,38,11,0,0,0,49,1723,2,6,21,728,80,837,18,2,19,6,0,0,0,24,862,25,82,,,,,1
4,0,4,104,West Hills,city,1,new,city,street,MV_AT,-123.31362,44.556285,2,0,10,26,758,58,852,7,0,7,9,0,0,0,16,868,0,5,13,379,29,426,4,0,4,4,0,0,0,8,434,27,86,SW WEST HILLS RD,ARTERIAL,Bike Lane,no,
5,0,5,105,West Hills and SW Sylvia,city,1,new,city,intersection,MV_AT,-123.304203,44.556304,2,2,4,15,425,70,516,5,3,8,18,4,0,4,30,546,1,2,8,212,35,258,2,2,4,9,2,0,2,15,273,33,86,,,,,
6,0,6,106,SW Philomath and SW 53rd,odot,1,new,city,intersection,AT,-123.312003,44.550873,2,7,25,256,3778,96,4162,8,3,11,18,3,0,3,32,4194,4,12,128,1889,48,2081,4,2,6,9,2,0,2,16,2097,52,92,SW 53RD ST,ARTERIAL,Bike Lane,no,
7,1,7,109,SW Country Club and SW 49th,city,1,new,city,intersection,MV_AT,-123.306716,44.545743,2,1,8,17,452,71,549,42,12,54,49,2,1,3,106,655,0,4,8,226,36,274,21,6,27,24,1,0,2,53,328,21,86,SW 49TH ST,NEIGHBORCOLLECTOR,Bike Lane,no,1
8,1,8,109,SW Country Club and SW 49th,city,1,new,city,intersection,MV_AT,-123.306716,44.545743,2,1,8,17,452,71,549,42,12,54,49,2,1,3,106,655,0,4,8,226,36,274,21,6,27,24,1,0,2,53,328,21,86,SW COUNTRY CLUB DR,COLLECTOR,Bike Lane,no,1
9,1,9,109,SW Country Club and SW 49th,city,1,new,city,intersection,MV_AT,-123.306716,44.545743,2,1,8,17,452,71,549,42,12,54,49,2,1,3,106,655,0,4,8,226,36,274,21,6,27,24,1,0,2,53,328,21,86,SW COUNTRY CLUB DR,COLLECTOR,Bike Lane,no,1
10,1,10,109,SW Country Club and SW 49th,city,1,new,city,intersection,MV_AT,-123.306716,44.545743,2,1,8,17,452,71,549,42,12,54,49,2,1,3,106,655,0,4,8,226,36,274,21,6,27,24,1,0,2,53,328,21,86,SW 49TH ST,NEIGHBORCOLLECTOR,Bike Lane,no,1
11,0,11,110,SW Philomath and SW 35th,odot,1,new,city,intersection,AT,-123.289572,44.554552,2,0,0,0,0,0,3500,64,22,86,24,3,2,5,115,3615,0,0,0,0,0,1750,32,11,43,12,2,1,2,58,1808,16,84,SW 35TH ST,COLLECTOR,Bike Lane,no,
12,0,12,110,SW Philomath and SW 35th,odot,1,new,city,intersection,AT,-123.289572,44.554552,2,0,0,0,0,0,3500,64,22,86,24,3,2,5,115,3615,0,0,0,0,0,1750,32,11,43,12,2,1,2,58,1808,16,84,SW 35TH ST,ARTERIAL,Bike Lane,no,
13,0,13,111,SW Western and SW 35th,city,1,legacy,city,intersection,MV_AT,-123.289618,44.556911,2,7,44,150,1381,89,1671,23,12,35,58,8,1,9,102,1773,4,22,75,690,44,836,12,6,18,29,4,0,4,51,886,19,86,SW 35TH ST,ARTERIAL,Bike Lane,no,
14,0,14,111,SW Western and SW 35th,city,1,legacy,city,intersection,MV_AT,-123.289618,44.556911,2,7,44,150,1381,89,1671,23,12,35,58,8,1,9,102,1773,4,22,75,690,44,836,12,6,18,29,4,0,4,51,886,19,86,SW WESTERN BLVD,ARTERIAL,Bike Lane,no,
15,0,15,111,SW Western and SW 35th,city,1,legacy,city,intersection,MV_AT,-123.289618,44.556911,2,7,44,150,1381,89,1671,23,12,35,58,8,1,9,102,1773,4,22,75,690,44,836,12,6,18,29,4,0,4,51,886,19,86,SW WESTERN BLVD,ARTERIAL,Buffered Bike Lane,no,
16,0,16,111,SW Western and SW 35th,city,1,legacy,city,intersection,MV_AT,-123.289618,44.556911,2,7,44,150,1381,89,1671,23,12,35,58,8,1,9,102,1773,4,22,75,690,44,836,12,6,18,29,4,0,4,51,886,19,86,SW 35TH ST,ARTERIAL,Bike Lane,no,
17,0,17,112,SW 35th and Corv-Philo MUP,city,1,new,city,intersection,MV_AT,-123.289623,44.549547,2,1,10,22,659,76,768,16,4,20,27,0,0,0,47,815,0,5,11,330,38,384,8,2,10,14,0,0,0,24,408,13,81,SW 35TH ST,COLLECTOR,Bike Lane,no,
18,0,18,113,SW Technology and SW Research,city,1,new,city,intersection,MV_AT,-123.306261,44.551237,2,3,11,27,1295,180,1516,8,1,9,20,0,0,0,29,1545,2,6,14,648,90,758,4,0,4,10,0,0,0,14,772,54,90,SW RESEARCH WAY,COLLECTOR,Bike Lane,no,
19,0,19,113,SW Technology and SW Research,city,1,new,city,intersection,MV_AT,-123.306261,44.551237,2,3,11,27,1295,180,1516,8,1,9,20,0,0,0,29,1545,2,6,14,648,90,758,4,0,4,10,0,0,0,14,772,54,90,SW TECHNOLOGY LOOP,COLLECTOR,Buffered Bike Lane,no,
20,0,20,113,SW Technology and SW Research,city,1,new,city,intersection,MV_AT,-123.306261,44.551237,2,3,11,27,1295,180,1516,8,1,9,20,0,0,0,29,1545,2,6,14,648,90,758,4,0,4,10,0,0,0,14,772,54,90,SW TECHNOLOGY LOOP,COLLECTOR,Buffered Bike Lane,no,
21,0,21,114,SW Country Club and SW Research,city,1,new,city,intersection,MV_AT,-123.294722,44.548339,2,2,7,16,635,127,787,26,2,28,27,0,1,1,56,843,1,4,8,318,64,394,13,1,14,14,0,0,0,28,422,17,63,SW COUNTRY CLUB DR,COLLECTOR,Bike Lane,no,
22,0,22,114,SW Country Club and SW Research,city,1,new,city,intersection,MV_AT,-123.294722,44.548339,2,2,7,16,635,127,787,26,2,28,27,0,1,1,56,843,1,4,8,318,64,394,13,1,14,14,0,0,0,28,422,17,63,SW COUNTRY CLUB DR,COLLECTOR,Bike Lane,no,
23,0,23,114,SW Country Club and SW Research,city,1,new,city,intersection,MV_AT,-123.294722,44.548339,2,2,7,16,635,127,787,26,2,28,27,0,1,1,56,843,1,4,8,318,64,394,13,1,14,14,0,0,0,28,422,17,63,SW RESEARCH WAY,COLLECTOR,Bike Lane,no,
24,0,24,201,NW Kings and NW Jackson,city,2,new,osu,intersection,MV_AT,-123.275072,44.569084,2,5,11,24,193,24,257,97,8,105,187,10,3,13,305,562,2,6,12,96,12,128,48,4,52,94,5,2,6,152,281,85,100,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
25,0,25,201,NW Kings and NW Jackson,city,2,new,osu,intersection,MV_AT,-123.275072,44.569084,2,5,11,24,193,24,257,97,8,105,187,10,3,13,305,562,2,6,12,96,12,128,48,4,52,94,5,2,6,152,281,85,100,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
26,0,26,201,NW Kings and NW Jackson,city,2,new,osu,intersection,MV_AT,-123.275072,44.569084,2,5,11,24,193,24,257,97,8,105,187,10,3,13,305,562,2,6,12,96,12,128,48,4,52,94,5,2,6,152,281,85,100,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
27,0,27,202,NW Harrison and NW Kings,city,2,legacy,city,intersection,MV_AT,-123.275127,44.57132,2,20,10,95,2710,301,3136,122,8,130,177,21,6,27,334,3470,10,5,48,1355,150,1568,61,4,65,88,10,3,14,167,1735,84,100,NW HARRISON BLVD,ARTERIAL,Bike Lane,no,
28,0,28,202,NW Harrison and NW Kings,city,2,legacy,city,intersection,MV_AT,-123.275127,44.57132,2,20,10,95,2710,301,3136,122,8,130,177,21,6,27,334,3470,10,5,48,1355,150,1568,61,4,65,88,10,3,14,167,1735,84,100,NW HARRISON BLVD,ARTERIAL,Bike Lane,no,
29,0,29,202,NW Harrison and NW Kings,city,2,legacy,city,intersection,MV_AT,-123.275127,44.57132,2,20,10,95,2710,301,3136,122,8,130,177,21,6,27,334,3470,10,5,48,1355,150,1568,61,4,65,88,10,3,14,167,1735,84,100,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
30,0,30,202,NW Harrison and NW Kings,city,2,legacy,city,intersection,MV_AT,-123.275127,44.57132,2,20,10,95,2710,301,3136,122,8,130,177,21,6,27,334,3470,10,5,48,1355,150,1568,61,4,65,88,10,3,14,167,1735,84,100,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
31,0,31,203,NW Van Buren and NW 13th,city,2,new,osu,intersection,MV_AT,-123.270267,44.568956,2,1,9,28,715,106,859,14,0,14,38,1,1,2,54,913,0,4,14,358,53,430,7,0,7,19,0,0,1,27,456,85,100,NW VAN BUREN AVE,ARTERIAL,Buffered Bike Lane,no,
32,0,32,203,NW Van Buren and NW 13th,city,2,new,osu,intersection,MV_AT,-123.270267,44.568956,2,1,9,28,715,106,859,14,0,14,38,1,1,2,54,913,0,4,14,358,53,430,7,0,7,19,0,0,1,27,456,85,100,NW VAN BUREN AVE,ARTERIAL,Buffered Bike Lane,no,
33,0,33,204,NW 11th and NW Jackson,city,2,new,osu,intersection,MV_AT,-123.268889,44.567478,2,1,0,5,199,15,220,78,3,81,73,6,5,11,165,385,0,0,2,100,8,110,39,2,40,36,3,2,6,82,192,86,100,NW 11TH ST,LOCAL,Neighborhood Bikeway,,
