"site_id","latitude","longitude","walkscore","bikescore"
101,44.565273,-123.312054,29,81
102,44.560712,-123.311991,25,82
104,44.556285,-123.31362,27,86
105,44.556304,-123.304203,33,86
106,44.550873,-123.312003,52,92
109,44.545743,-123.306716,21,86
110,44.554552,-123.289572,16,84
111,44.556911,-123.289618,19,86
112,44.549547,-123.289623,13,81
113,44.551237,-123.306261,54,90
114,44.548339,-123.294722,17,63
201,44.569084,-123.275072,85,100
202,44.57132,-123.275127,84,100
203,44.568956,-123.270267,85,100
204,44.567478,-123.268889,86,100
205,44.564917,-123.263006,92,100
206,44.563181,-123.265124,91,100
207,44.562587,-123.271303,78,100
208,44.562761,-123.267734,90,100
209,44.569889,-123.26529,85,100
212,44.567191,-123.272177,87,100
213,44.558893,-123.261295,81,85
301,44.531082,-123.260756,3,80
302,44.538698,-123.260413,27,83
303,44.538043,-123.266917,41,87
304,44.543443,-123.266228,64,93
305,44.543635,-123.260444,53,84
306,44.545236,-123.260747,57,86
307,44.550264,-123.258709,35,86
308,44.552277,-123.262017,60,94
309,44.545261,-123.255598,31,73
310,44.536387,-123.266803,34,87
311,44.545193,-123.265852,64,94
312,44.551939,-123.265149,66,95
312,44.551939,-123.265149,66,95
313,44.547964,-123.265037,64,95
314,44.54981,-123.264871,63,95
315,44.536721,-123.262264,24,82
401,44.559854,-123.273983,72,99
402,44.559171,-123.27086,73,92
404,44.569749,-123.284631,63,100
405,44.566809,-123.2897,39,92
406,44.562051,-123.289694,25,87
407,44.571714,-123.289714,41,94
407,44.571714,-123.289714,41,94
501,44.570414,-123.280089,71,100
502,44.578154,-123.270795,76,100
503,44.572724,-123.281163,77,100
504,44.578664,-123.283083,71,100
506,44.571326,-123.266976,82,100
506,44.571326,-123.266976,82,100
507,44.573373,-123.271253,78,100
508,44.575801,-123.263458,75,100
509,44.576068,-123.273154,83,100
510,44.579622,-123.263555,74,100
601,44.569807,-123.260471,88,100
602,44.588923,-123.247057,61,87
602.1,44.588923,-123.247057,61,87
603,44.593342,-123.250365,74,96
604,44.585863,-123.256508,80,99
605,44.588727,-123.262535,79,100
606,44.583139,-123.262538,79,100
607,44.582978,-123.276019,69,99
608,44.586285,-123.271405,70,97
609,44.587749,-123.281208,61,96
610,44.593782,-123.262574,56,97
611,44.590024,-123.269368,68,98
612,44.586353,-123.276012,71,96
613,44.592909,-123.267136,54,91
614,44.588822,-123.253197,80,99
615,44.585886,-123.262458,78,100
701,44.573662,-123.290868,37,91
702,44.571067,-123.312114,29,81
703,44.581392,-123.295219,26,71
704,44.575549,-123.288895,49,92
704,44.575549,-123.288895,49,92
705,44.577112,-123.285857,63,97
706,44.58162,-123.281099,65,99
706,44.58162,-123.281099,65,99
707,44.586396,-123.283106,52,90
707,44.586396,-123.283106,52,90
801,44.593906,-123.302258,12,53
802,44.594026,-123.293969,22,49
803,44.596609,-123.287831,26,84
804,44.593306,-123.288348,33,57
805,44.587289,-123.30764,7,52
806,44.592297,-123.276281,61,94
807,44.595047,-123.298839,18,70
901,44.591054,-123.257907,77,99
902,44.589965,-123.260377,75,100
903,44.593596,-123.25978,58,95
904,44.597815,-123.257401,48,79
906,44.596106,-123.242135,33,77
907,44.599891,-123.242705,30,83
908,44.597824,-123.233651,14,71
909,44.59683,-123.249251,63,93
910,44.593596,-123.25978,58,95
